id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
requisition_requisition_supervisor,requisition.model_requisition,requisition.model_requisition,maintenance_cp.maintenance_cp_supervisor,1,0,0,0
requisition_lines_supervisor,requisition.model_requisition_lines,requisition.model_requisition_lines,maintenance_cp.maintenance_cp_supervisor,1,0,0,0
budget_requisition_maintenance_cp_supervisor,maintenance_cp.maintenance_cp_supervisor,requisition.model_budget_requisition,maintenance_cp.maintenance_cp_supervisor,1,0,0,0
requisition_requisition_manager,requisition.model_requisition,requisition.model_requisition,maintenance_cp.maintenance_cp_manager,1,0,0,0
requisition_lines_manager,requisition.model_requisition_lines,requisition.model_requisition_lines,maintenance_cp.maintenance_cp_manager,1,0,0,0
budget_requisition_manager,requisition.model_budget_requisition,requisition.model_budget_requisition,maintenance_cp.maintenance_cp_manager,1,0,0,0
stock_model_stock_picking_user,stock.model_stock_picking,stock.model_stock_picking,maintenance_cp.maintenance_cp_user,1,0,0,0
stock_model_stock_picking_type_technician,stock.model_stock_picking_type,stock.model_stock_picking_type,maintenance_cp.maintenance_cp_technician,1,0,0,0
stock_model_stock_picking_supervisor,stock.model_stock_picking,stock.model_stock_picking,maintenance_cp.maintenance_cp_supervisor,1,0,0,0
stock_model_stock_picking_type_supervisor,stock.model_stock_picking_type,stock.model_stock_picking_type,maintenance_cp.maintenance_cp_supervisor,1,0,0,0
stock_model_stock_picking_manager,stock.model_stock_picking,stock.model_stock_picking,maintenance_cp.maintenance_cp_manager,1,0,0,0
stock_model_stock_picking_type_manager,stock.model_stock_picking_type,stock.model_stock_picking_type,maintenance_cp.maintenance_cp_manager,1,0,0,0
